Date,Content,Video title,Video publish time,Duration,Stayed to watch (%)
2011-08-20,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-21,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-22,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-23,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-24,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-25,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-26,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-27,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-28,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-29,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-30,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-08-31,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-01,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-02,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-03,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-04,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-05,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-06,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-07,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-08,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-10,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-11,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-12,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-13,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-14,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-15,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-16,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-17,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-18,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-19,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-20,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-21,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-22,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-23,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-24,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-25,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-26,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-27,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-28,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-29,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-09-30,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-01,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-02,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-03,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-04,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-05,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-06,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-07,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-08,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
2011-10-09,6xFxE92I6Nk,Is PHP the new JavaScript?,"Sep 27, 2024",978,0
